Name,PlayerId,YR,Wt,BMI,Total_TD,2PM,Total_Pts,PB,AP1,AV
Zach Zenner,ZennZa00,2015,220,29.8,0,,0,0,0,0
Zach Zenner,ZennZa00,2016,220,29.8,4,,24,0,0,4
Vince Young,YounVi00,2011,230,27.3,0,,0,0,0,3
Titus Young,YounTi00,2011,175,24.4,6,1,38,0,0,5
Titus Young,YounTi00,2012,175,24.4,4,,24,0,0,3
Darrel Young,YounDa01,2013,248,34.6,4,,24,0,0,1
Darrel Young,YounDa01,2011,248,34.6,1,,6,0,0,1
Darrel Young,YounDa01,2014,248,34.6,5,,30,0,0,1
Darrel Young,YounDa01,2012,248,34.6,2,,12,0,0,2
Darrel Young,YounDa01,2015,248,34.6,0,,0,0,0,0
T.J. Yeldon,YeldT.00,2015,221,28.4,3,,18,0,0,7
T.J. Yeldon,YeldT.00,2016,221,28.4,2,,12,0,0,5
T.J. Yates,YateT.00,2011,210,27,0,,0,0,0,3
Shane Wynn,WynnSh00,2016,166,26.8,0,,0,0,0,0
Devon Wylie,WyliDe00,2012,187,27.6,0,,0,0,0,0
Tim Wright,WrigTi01,2015,220,26.8,2,,12,0,0,1
Tim Wright,WrigTi01,2013,220,26.8,5,,30,0,0,5
Tim Wright,WrigTi01,2014,220,26.8,6,,36,0,0,3
Kendall Wright,WrigKe01,2013,194,27.8,2,,12,0,0,9
Kendall Wright,WrigKe01,2016,194,27.8,3,,18,0,0,4
Kendall Wright,WrigKe01,2014,194,27.8,6,,36,0,0,5
Kendall Wright,WrigKe01,2012,194,27.8,4,,24,0,0,5
Kendall Wright,WrigKe01,2015,194,27.8,3,,18,0,0,3
Jarius Wright,WrigJa02,2014,182,26.1,2,,12,0,0,5
Jarius Wright,WrigJa02,2012,182,26.1,2,,12,0,0,3
Jarius Wright,WrigJa02,2015,182,26.1,0,,0,0,0,5
Jarius Wright,WrigJa02,2013,182,26.1,3,,18,0,0,4
Jarius Wright,WrigJa02,2016,182,26.1,1,,6,0,0,1
James Wright,WrigJa03,2014,203,26.1,0,,0,0,0,1
James Wright,WrigJa03,2016,203,26.1,0,,0,0,0,1
Robert Woods,WoodRo02,2013,201,26.5,3,1,20,0,0,4
Robert Woods,WoodRo02,2016,201,26.5,1,,6,0,0,6
Robert Woods,WoodRo02,2014,201,26.5,5,1,32,0,0,5
Robert Woods,WoodRo02,2015,201,26.5,3,,18,0,0,5
Danny Woodhead,WoodDa02,2012,200,29.5,7,,42,0,0,7
Danny Woodhead,WoodDa02,2013,200,29.5,8,,48,0,0,9
Danny Woodhead,WoodDa02,2011,200,29.5,1,2,10,0,0,5
Danny Woodhead,WoodDa02,2015,200,29.5,9,,54,0,0,7
Cierre Wood,WoodCi00,2013,213,29.7,0,,0,0,0,0
Jason Witten,WittJa00,2016,257,30.5,3,,18,0,0,7
Jason Witten,WittJa00,2011,257,30.5,5,,30,0,0,8
Jason Witten,WittJa00,2014,257,30.5,5,,30,1,0,8
Jason Witten,WittJa00,2012,257,30.5,3,,18,1,0,8
Jason Witten,WittJa00,2015,257,30.5,3,,18,0,0,4
