YR,Tm_Name,Team_RshTD,Team_RecTD,Team_PR TD,Team_KR TD,Team_FblTD,Team_IntTD,Team_OthTD,Team_AllTD,2PM,2PA,FGM,FGA,Pts,Pts.G
2016,Atlanta Falcons,20,38,,,2,3,,63,2,6,34,37,540,33.8
2016,New Orleans Saints,17,38,,,,,,55,2,5,28,34,469,29.3
2016,New England Patriots,19,32,,,,,,51,1,2,27,32,441,27.6
2016,Green Bay Packers,11,40,,,,,,51,2,4,26,30,432,27
2016,Dallas Cowboys,24,25,,,,,,49,,2,27,32,421,26.3
2016,Arizona Cardinals,20,28,,,1,2,,51,1,4,21,28,418,26.1
2016,Oakland Raiders,17,29,,,,1,,47,5,7,29,35,416,26
2016,Indianapolis Colts,13,32,,1,1,,,47,2,3,27,31,411,25.7
2016,San Diego Chargers,10,33,,,2,3,,48,,2,26,32,410,25.6
2016,Pittsburgh Steelers,13,33,,,1,,,47,3,9,24,28,399,24.9
2016,Buffalo Bills,29,17,,,2,1,,49,4,4,19,25,399,24.9
2016,Washington Redskins,17,25,1,,,,,43,,4,34,42,396,24.8
2016,Kansas City Chiefs,15,19,2,1,1,4,,42,2,2,31,35,387,24.3
2016,Tennessee Titans,16,29,,,1,,,46,,5,22,24,381,23.8
2016,Carolina Panthers,16,21,,,2,1,,40,3,6,30,38,369,23.1
2016,Philadelphia Eagles,16,16,,2,,3,,37,4,6,35,41,367,22.9
2016,Miami Dolphins,14,27,1,1,,1,1,45,1,2,16,21,361,22.7
2016,Seattle Seahawks,13,23,,,1,,,37,1,2,33,37,354,22.1
2016,Tampa Bay Buccaneers,8,29,,,,4,,41,4,7,22,31,354,22.1
2016,Detroit Lions,9,24,2,,,1,,36,1,2,31,36,346,21.6
2016,Baltimore Ravens,10,20,,,1,,1,32,4,5,38,39,341,21.4
2016,Denver Broncos,11,20,,,1,3,,35,1,2,29,34,331,20.8
2016,Minnesota Vikings,9,20,2,1,2,2,,36,1,3,27,31,327,20.4
2016,Cincinnati Bengals,17,18,,,,,,35,,0,28,35,325,20.3
2016,Jacksonville Jaguars,8,24,,1,,1,,34,2,2,27,34,318,19.9
2016,New York Giants,6,26,,,2,1,1,36,,1,21,22,310,19.4
2016,San Francisco 49ers,15,21,,,,,,36,2,2,18,21,309,19.3
2016,Chicago Bears,10,19,1,,1,1,,32,,0,18,23,279,17.4
2016,Houston Texans,8,15,1,,,1,,25,,0,35,41,279,17.4
2016,New York Jets,10,16,,,,,1,27,1,1,27,31,269,17.2
2016,Cleveland Browns,13,15,,,,1,,29,2,4,21,27,264,16.5
2016,Los Angeles Rams,9,14,,,1,,,24,,1,19,22,224,14
2015,Carolina Panthers,19,35,,,1,4,,59,,0,30,36,500,31.3
2015,Arizona Cardinals,16,35,,1,2,4,,58,,0,28,31,489,30.6
2015,New England Patriots,14,36,,,2,,,52,,0,33,36,465,29.1
2015,Pittsburgh Steelers,16,26,1,,,2,,45,8,11,35,42,423,26.4
2015,Seattle Seahawks,10,34,1,1,3,,,49,1,5,29,31,423,26.4
2015,New York Giants,5,36,1,1,2,2,,47,1,2,30,32,420,26.3
2015,Cincinnati Bengals,18,31,,,,1,,50,1,1,23,28,419,26.2
2015,New Orleans Saints,16,32,1,,1,,1,51,1,4,18,26,406,25.5
2015,Kansas City Chiefs,19,20,,,2,4,,45,2,4,30,37,405,25.3
2015,Washington Redskins,9,30,,2,1,1,1,44,2,3,26,30,388,24.3
2015,New York Jets,11,33,,,,,,44,,0,27,33,387,24.2
2015,Buffalo Bills,19,23,,,1,2,,45,2,5,23,27,379,23.7
2015,Philadelphia Eagles,15,23,2,,1,3,1,45,,0,21,26,377,23.6
2015,Jacksonville Jaguars,5,35,1,,2,1,,44,1,5,26,30,376,23.5
2015,Green Bay Packers,8,31,,,1,2,,42,4,6,24,28,368,23
2015,Minnesota Vikings,18,14,1,2,1,2,,38,1,1,34,39,365,22.8
2015,Oakland Raiders,7,34,,,,1,,42,1,3,21,26,359,22.4
2015,Detroit Lions,7,33,,,1,1,,42,,3,22,24,358,22.4
2015,Denver Broncos,13,19,1,,1,4,,38,,1,30,35,355,22.2
2015,Tampa Bay Buccaneers,12,22,,,2,1,,37,1,3,29,40,342,21.4
2015,Atlanta Falcons,13,21,,,3,1,,38,1,3,25,31,339,21.2
2015,Houston Texans,7,29,,,1,2,,39,2,3,23,27,339,21.2
2015,Chicago Bears,13,21,,,,,,34,2,5,33,39,335,20.9
2015,Indianapolis Colts,6,26,,,1,4,,37,1,2,25,27,333,20.8
2015,Baltimore Ravens,8,21,1,,1,1,1,33,1,4,33,40,328,20.5
2015,San Diego Chargers,4,30,,,,1,,35,2,3,26,32,320,20
2015,Miami Dolphins,11,24,1,,,3,,39,2,3,13,16,310,19.4
2015,Tennessee Titans,10,25,,,1,1,,37,3,5,14,16,299,18.7
2015,St. Louis Rams,16,11,1,,2,1,,31,1,2,21,31,280,17.5
2015,Cleveland Browns,5,20,1,,,2,,28,2,4,28,32,278,17.4
2015,Dallas Cowboys,8,16,,,,1,1,26,1,1,30,32,275,17.2
2015,San Francisco 49ers,7,16,,,,1,,24,1,2,24,27,238,14.9
2014,Green Bay Packers,14,38,2,,1,3,,58,1,3,27,33,486,30.4
2014,Denver Broncos,15,40,,,1,2,,58,2,2,24,29,482,30.1
2014,Philadelphia Eagles,16,27,2,2,2,2,3,54,,0,32,36,474,29.6
2014,New England Patriots,13,34,1,,2,,2,52,,1,35,37,468,29.3
2014,Dallas Cowboys,16,37,,,1,2,,56,,0,25,29,467,29.2
2014,Indianapolis Colts,9,42,,,1,1,,53,,3,30,31,458,28.6
2014,Pittsburgh Steelers,10,33,1,,1,4,,49,4,4,29,32,436,27.3
2014,Baltimore Ravens,16,27,,1,,1,1,46,1,3,29,34,409,25.6
2014,New Orleans Saints,16,33,,,,,,49,,1,19,22,401,25.1
2014,Seattle Seahawks,20,20,,,,2,1,43,,1,31,37,394,24.6
2014,Miami Dolphins,12,27,,,1,2,,42,1,1,29,37,388,24.3
2014,Atlanta Falcons,11,28,1,,1,1,,42,1,2,29,32,381,23.8
2014,New York Giants,13,30,,,1,,,44,,0,24,26,380,23.8
2014,Houston Texans,12,22,,,1,4,1,40,,0,30,35,372,23.3
2014,Cincinnati Bengals,19,20,,,,1,,40,1,1,26,33,365,22.8
2014,Kansas City Chiefs,18,18,1,1,1,1,,40,,2,25,30,353,22.1
2014,San Diego Chargers,6,31,,,3,,,40,,0,22,26,348,21.8
2014,Buffalo Bills,7,23,1,1,1,,1,34,2,2,34,38,343,21.4
2014,Carolina Panthers,10,23,1,,,2,,36,1,2,29,35,339,21.2
2014,Minnesota Vikings,12,17,,,2,2,2,35,4,4,26,35,325,20.3
2014,St. Louis Rams,11,20,2,,,3,,36,1,1,24,30,324,20.3
2014,Detroit Lions,11,22,,,1,1,,35,1,3,25,38,321,20.1
2014,Chicago Bears,8,30,,1,,1,,40,5,5,12,16,319,19.9
2014,Arizona Cardinals,6,21,1,,1,3,,32,2,5,29,33,310,19.4
2014,San Francisco 49ers,10,20,,,1,2,,33,,0,25,31,306,19.1
2014,Washington Redskins,15,18,,,,,,33,,1,24,27,301,18.8
2014,Cleveland Browns,17,12,,,1,2,,32,,2,25,32,299,18.7
2014,New York Jets,11,16,,,,,,27,,4,32,39,283,17.7
2014,Tampa Bay Buccaneers,7,21,,,,3,,31,,0,20,24,277,17.3
2014,Tennessee Titans,6,20,,,1,1,,28,,1,19,22,254,15.9
2014,Oakland Raiders,4,22,,,1,,1,28,,0,19,22,253,15.8
2014,Jacksonville Jaguars,9,15,,,2,1,,27,1,4,20,26,249,15.6
2013,Denver Broncos,16,55,1,1,1,1,1,76,,1,25,26,606,37.9
2013,Chicago Bears,13,32,1,,1,5,,52,5,6,26,29,445,27.8
2013,New England Patriots,19,25,,,1,2,,47,2,3,38,41,444,27.8
2013,Philadelphia Eagles,19,32,,,1,1,,53,3,8,23,28,442,27.6
2013,Dallas Cowboys,12,33,1,,3,2,,51,1,4,28,30,439,27.4
2013,Cincinnati Bengals,14,33,,,2,4,1,54,,1,18,22,430,26.9
2013,Kansas City Chiefs,17,24,2,2,,5,2,52,,0,22,28,430,26.9
2013,Green Bay Packers,17,25,1,,3,,,46,,4,33,37,417,26.1
2013,Seattle Seahawks,14,27,,,1,3,,45,,1,33,35,417,26.1
2013,New Orleans Saints,10,39,,,,,,49,,1,24,32,414,25.9
2013,San Francisco 49ers,18,21,,,3,2,,44,,0,32,36,406,25.4
2013,San Diego Chargers,9,32,,,,1,,42,,0,34,37,396,24.8
2013,Detroit Lions,15,29,1,1,1,1,,48,2,5,19,24,395,24.7
2013,Minnesota Vikings,23,18,1,2,1,,,45,,1,26,30,391,24.4
2013,Indianapolis Colts,15,23,,,,1,1,40,4,6,35,40,391,24.4
2013,Pittsburgh Steelers,9,28,1,,,3,,41,1,2,30,32,379,23.7
2013,Arizona Cardinals,12,24,,,1,4,,41,1,4,30,36,379,23.7
2013,Carolina Panthers,14,24,,,,4,,42,,0,24,27,366,22.9
2013,Tennessee Titans,16,22,,,2,1,,41,,0,25,29,362,22.6
2013,Atlanta Falcons,11,26,,,1,2,,40,1,1,24,27,353,22.1
2013,St. Louis Rams,10,22,1,,3,2,,38,3,4,26,28,348,21.8
2013,Buffalo Bills,15,16,,,1,2,,34,2,2,33,36,339,21.2
2013,Washington Redskins,14,20,,,1,4,,39,2,5,21,26,334,20.9
2013,Oakland Raiders,16,17,,,2,1,1,37,,0,21,30,322,20.1
2013,Baltimore Ravens,7,19,1,1,,1,,29,3,3,38,41,320,20
2013,Miami Dolphins,8,24,,,,2,,34,,1,26,34,317,19.8
2013,Cleveland Browns,4,26,1,,,3,1,35,2,2,21,26,310,19.3
2013,New York Giants,11,18,,,,2,1,32,1,1,23,26,294,18.4
2013,New York Jets,12,13,,,,1,1,27,,0,33,36,290,18.1
2013,Tampa Bay Buccaneers,6,22,,,,3,,31,,0,23,29,288,18
2013,Houston Texans,7,19,1,,,1,,28,1,1,26,35,276,17.3
2013,Jacksonville Jaguars,7,16,,,1,1,,25,,2,23,25,247,15.4
2012,New England Patriots,25,34,1,1,4,2,,67,,1,29,35,557,34.8
2012,Denver Broncos,12,37,1,1,1,5,,57,1,2,26,32,481,30.1
2012,New Orleans Saints,10,43,,,,4,1,58,1,1,18,22,461,28.8
2012,Washington Redskins,22,24,,,3,3,,52,1,1,24,30,436,27.3
2012,Green Bay Packers,9,40,1,,1,1,1,53,1,3,21,33,433,27.1
2012,New York Giants,18,26,,1,1,1,,47,1,1,33,39,429,26.8
2012,Atlanta Falcons,12,32,,,1,1,,46,,2,33,38,419,26.2
2012,Houston Texans,19,22,,,,3,2,46,,0,31,38,416,26
2012,Seattle Seahawks,16,27,,1,1,2,2,49,,0,24,27,412,25.8
2012,Baltimore Ravens,17,22,1,2,,2,,44,1,1,30,33,398,24.9
2012,San Francisco 49ers,17,23,,,2,2,,44,,0,29,42,397,24.8
2012,Cincinnati Bengals,11,28,1,,1,2,,43,,0,30,35,391,24.4
2012,Tampa Bay Buccaneers,13,27,,,,3,1,44,1,4,28,33,389,24.3
2012,Minnesota Vikings,16,18,1,1,,3,,39,2,3,35,38,379,23.7
2012,Dallas Cowboys,8,29,1,,2,1,,41,3,4,29,31,376,23.5
2012,Chicago Bears,11,21,,,1,8,1,42,1,2,27,33,375,23.4
2012,Detroit Lions,17,22,,,,,,39,1,1,32,36,372,23.3
2012,Indianapolis Colts,11,23,1,1,,4,,40,1,2,26,33,357,22.3
2012,Carolina Panthers,21,19,,,1,3,,44,,0,16,21,357,22.3
2012,San Diego Chargers,4,26,1,1,2,5,,39,,0,25,27,350,21.9
2012,Buffalo Bills,12,24,2,1,,1,,40,,1,21,24,344,21.5
2012,Pittsburgh Steelers,8,27,,,,1,,36,1,2,28,31,336,21
2012,Tennessee Titans,10,17,3,1,1,4,,36,1,1,25,31,330,20.6
2012,Cleveland Browns,12,16,1,,,2,,31,,1,29,31,302,18.9
2012,St. Louis Rams,5,22,,,1,4,,32,5,6,23,31,299,18.7
2012,Oakland Raiders,4,24,,,,,,28,2,3,31,34,290,18.1
2012,Miami Dolphins,15,13,1,1,,,1,31,2,2,23,30,288,18
2012,New York Jets,12,14,1,1,1,2,,31,,1,21,27,281,17.6
2012,Philadelphia Eagles,10,18,1,,,,,29,,3,27,31,280,17.5
2012,Jacksonville Jaguars,5,20,,,,,1,26,3,7,25,28,255,15.9
2012,Arizona Cardinals,10,11,,,1,2,1,25,,0,25,28,250,15.6
2012,Kansas City Chiefs,9,8,,,1,,,18,,1,28,34,211,13.2
