YR,Tm_Name,PF,Yds,Pen,PenYds,1stPy,Sc_perc,TO_perc,EXP
2016,Atlanta Falcons,540,6653,104,848,32,52.6,6.3,299.18
2016,New Orleans Saints,469,6816,107,969,25,45.9,12.7,181.68
2016,New England Patriots,441,6180,93,819,39,42.9,4.9,217.74
2016,Green Bay Packers,432,5900,100,827,36,43.8,9.1,213.84
2016,Dallas Cowboys,421,6027,105,879,25,43.9,8.7,181.38
2016,Arizona Cardinals,418,5868,104,889,42,35,14.2,53.88
2016,Oakland Raiders,416,5973,147,1247,37,38.7,7.2,66.08
2016,Indianapolis Colts,411,5830,103,883,38,40.6,12.2,89.3
2016,San Diego Chargers,410,5708,107,780,36,38.1,18.2,44.64
2016,Pittsburgh Steelers,399,5962,112,1068,29,38.5,9.9,122.31
2016,Buffalo Bills,399,5666,112,960,27,36.7,6.8,110.41
2016,Washington Redskins,396,6454,110,909,30,43.4,11.4,141.52
2016,Kansas City Chiefs,389,5488,109,848,22,37.1,9,33.53
2016,Tennessee Titans,381,5728,110,1012,32,36.4,9.8,68.28
2016,Carolina Panthers,369,5499,98,835,25,34.7,14,-5
2016,Philadelphia Eagles,367,5398,113,945,27,37.6,11.2,10.08
2016,Miami Dolphins,363,5324,125,1142,21,30.7,11.1,23.16
2016,Seattle Seahawks,354,5715,117,970,25,37.3,9.7,72.17
2016,Tampa Bay Buccaneers,354,5542,109,926,40,32.4,14.8,31.47
2016,Detroit Lions,346,5421,100,861,36,41,9,93.08
2016,Baltimore Ravens,343,5563,125,1111,32,35.6,10.5,-21.79
2016,Denver Broncos,333,5169,119,985,33,30.3,11.6,-36.87
2016,Minnesota Vikings,327,5041,103,882,28,32.8,7.5,0.5
2016,Cincinnati Bengals,325,5711,88,726,37,35.8,8.5,95.82
2016,Jacksonville Jaguars,318,5359,129,1187,39,31.4,13.6,-18.17
2016,New York Giants,310,5291,88,857,26,27.5,13,-46.11
2016,San Francisco 49ers,309,4930,99,831,19,27.4,10.7,-37.57
2016,Chicago Bears,279,5704,110,967,19,27.3,17.4,7.05
2016,Houston Texans,279,5035,87,868,30,31.4,11.4,-71.03
2016,New York Jets,275,5268,93,837,28,29.7,17.8,-38.59
2016,Cleveland Browns,264,4976,95,736,32,27.2,13.3,-6
2016,Los Angeles Rams,224,4203,126,1091,26,21.8,14.5,-167.19
